Agent,Scores,Milis
GreedyAgent,163,320.5745220184326
GreedyAgent,1294,135.2100372314453
GreedyAgent,772,226.09782218933105
GreedyAgent,1191,165.8647060394287
GreedyAgent,-1469,508.6550712585449
GreedyAgent,631,263.58890533447266
GreedyAgent,400,260.1950168609619
GreedyAgent,798,218.75691413879395
GreedyAgent,1121,165.740966796875
GreedyAgent,167,312.2267723083496
GreedyAgent,1319,157.54961967468262
GreedyAgent,1092,189.4371509552002
GreedyAgent,745,236.90223693847656
GreedyAgent,1320,161.26394271850586
GreedyAgent,981,274.8734951019287
GreedyAgent,1657,158.09988975524902
GreedyAgent,1520,141.60561561584473
GreedyAgent,1737,101.31573677062988
GreedyAgent,1201,170.71962356567383
GreedyAgent,1481,137.64238357543945
GreedyAgent,211,429.80027198791504
GreedyAgent,343,284.19041633605957
GreedyAgent,-483,394.89293098449707
GreedyAgent,15,313.3580684661865
GreedyAgent,-306,364.9435043334961
GreedyAgent,1348,155.88831901550293
GreedyAgent,1465,136.3694667816162
GreedyAgent,972,200.70862770080566
GreedyAgent,347,289.0324592590332
GreedyAgent,-848,438.8623237609863
GreedyAgent,1544,124.34053421020508
GreedyAgent,503,228.52635383605957
GreedyAgent,353,289.34264183044434
GreedyAgent,1161,170.9444522857666
GreedyAgent,-7714,1414.4775867462158
GreedyAgent,-35,346.4534282684326
GreedyAgent,1346,156.36324882507324
GreedyAgent,754,226.11737251281738
GreedyAgent,643,229.9795150756836
GreedyAgent,1501,113.64984512329102
GreedyAgent,601,366.2703037261963
GreedyAgent,-215,365.42344093322754
GreedyAgent,1234,180.1314353942871
GreedyAgent,1283,151.36003494262695
GreedyAgent,1446,138.90719413757324
GreedyAgent,1598,107.49077796936035
GreedyAgent,703,240.42630195617676
GreedyAgent,473,265.4550075531006
GreedyAgent,206,312.1342658996582
GreedyAgent,1470,128.83567810058594
GreedyAgent,1363,153.1350612640381
GreedyAgent,743,211.51375770568848
GreedyAgent,1247,156.79264068603516
GreedyAgent,738,243.06845664978027
GreedyAgent,1380,166.60475730895996
GreedyAgent,814,230.5467128753662
GreedyAgent,-292,388.91053199768066
GreedyAgent,1100,169.54588890075684
GreedyAgent,327,270.92790603637695
GreedyAgent,1443,119.29774284362793
GreedyAgent,1385,131.36649131774902
GreedyAgent,1472,118.5908317565918
GreedyAgent,1056,202.3913860321045
GreedyAgent,1134,165.1303768157959
GreedyAgent,-4044,1026.742935180664
GreedyAgent,1452,124.83406066894531
GreedyAgent,-619,394.00553703308105
GreedyAgent,418,264.85252380371094
GreedyAgent,1031,174.29256439208984
GreedyAgent,-404,376.5287399291992
GreedyAgent,-58,311.99026107788086
GreedyAgent,1437,130.56659698486328
GreedyAgent,627,255.5251121520996
GreedyAgent,1037,179.48055267333984
GreedyAgent,1344,147.91250228881836
GreedyAgent,1007,208.76288414001465
GreedyAgent,756,207.47995376586914
GreedyAgent,1103,184.92627143859863
GreedyAgent,1196,210.4055881500244
GreedyAgent,955,196.13933563232422
GreedyAgent,610,233.46781730651855
GreedyAgent,1426,160.55941581726074
GreedyAgent,731,275.2044200897217
GreedyAgent,358,276.7598628997803
GreedyAgent,-69,312.1180534362793
GreedyAgent,1389,183.61353874206543
GreedyAgent,1127,184.56387519836426
GreedyAgent,909,241.7914867401123
GreedyAgent,-1340,594.0279960632324
GreedyAgent,958,220.98970413208008
GreedyAgent,1097,180.75084686279297
GreedyAgent,1438,127.63190269470215
GreedyAgent,940,194.74458694458008
GreedyAgent,141,356.6100597381592
GreedyAgent,256,351.8414497375488
GreedyAgent,828,225.85701942443848
GreedyAgent,1317,184.51690673828125
GreedyAgent,1561,113.48414421081543
GreedyAgent,-159,317.7506923675537
GreedyAgent,328,259.8233222961426
DepthSearchAgent,429,615.2715682983398
DepthSearchAgent,141,600.9390354156494
DepthSearchAgent,621,596.8637466430664
DepthSearchAgent,483,613.776683807373
DepthSearchAgent,293,613.6715412139893
DepthSearchAgent,823,483.9904308319092
DepthSearchAgent,376,829.582691192627
DepthSearchAgent,888,606.6226959228516
DepthSearchAgent,428,474.05099868774414
DepthSearchAgent,1216,509.8450183868408
DepthSearchAgent,673,582.7736854553223
DepthSearchAgent,683,629.9419403076172
DepthSearchAgent,173,578.2654285430908
DepthSearchAgent,748,508.3625316619873
DepthSearchAgent,857,575.5171775817871
DepthSearchAgent,678,557.807207107544
DepthSearchAgent,272,732.0060729980469
DepthSearchAgent,188,914.1130447387695
DepthSearchAgent,61,880.387544631958
DepthSearchAgent,515,564.6312236785889
DepthSearchAgent,-123,817.023754119873
DepthSearchAgent,374,637.944221496582
DepthSearchAgent,193,679.9459457397461
DepthSearchAgent,431,591.5939807891846
DepthSearchAgent,597,590.5683040618896
DepthSearchAgent,434,583.2538604736328
DepthSearchAgent,591,554.3954372406006
DepthSearchAgent,494,522.2554206848145
DepthSearchAgent,729,685.9414577484131
DepthSearchAgent,492,699.4104385375977
DepthSearchAgent,590,545.7680225372314
DepthSearchAgent,610,673.0022430419922
DepthSearchAgent,760,712.3658657073975
DepthSearchAgent,37,796.8132495880127
DepthSearchAgent,981,437.34288215637207
DepthSearchAgent,1012,403.7659168243408
DepthSearchAgent,631,457.1242332458496
DepthSearchAgent,433,593.1663513183594
DepthSearchAgent,373,569.0646171569824
DepthSearchAgent,123,620.8534240722656
DepthSearchAgent,504,460.773229598999
DepthSearchAgent,701,609.1632843017578
DepthSearchAgent,91,740.318775177002
DepthSearchAgent,688,458.590030670166
DepthSearchAgent,734,578.4237384796143
DepthSearchAgent,-364,738.3058071136475
DepthSearchAgent,710,448.4572410583496
DepthSearchAgent,558,554.3649196624756
DepthSearchAgent,483,534.7716808319092
DepthSearchAgent,579,576.8535137176514
DepthSearchAgent,860,506.3903331756592
DepthSearchAgent,255,583.7669372558594
DepthSearchAgent,534,578.8319110870361
DepthSearchAgent,744,407.8195095062256
DepthSearchAgent,251,552.3602962493896
DepthSearchAgent,351,539.4518375396729
DepthSearchAgent,-397,748.7356662750244
DepthSearchAgent,647,600.5141735076904
DepthSearchAgent,677,605.6265830993652
DepthSearchAgent,568,552.8266429901123
DepthSearchAgent,403,584.5077037811279
DepthSearchAgent,748,509.9637508392334
DepthSearchAgent,573,618.2763576507568
DepthSearchAgent,509,551.5198707580566
DepthSearchAgent,-32,763.530969619751
