Agent,Scores,Cost,Milis
BreadthSearchAgent,520,30,34.85703468322754
BreadthSearchAgent,526,24,32.785892486572266
BreadthSearchAgent,523,27,26.57318115234375
BreadthSearchAgent,525,25,23.806333541870117
BreadthSearchAgent,536,14,24.043560028076172
BreadthSearchAgent,526,24,25.056123733520508
BreadthSearchAgent,529,21,24.381637573242188
BreadthSearchAgent,530,20,24.296045303344727
BreadthSearchAgent,526,24,25.942325592041016
BreadthSearchAgent,525,25,32.23752975463867
BreadthSearchAgent,532,18,28.037548065185547
BreadthSearchAgent,525,25,28.31125259399414
BreadthSearchAgent,527,23,27.19855308532715
BreadthSearchAgent,526,24,25.55394172668457
BreadthSearchAgent,524,26,26.507854461669922
BreadthSearchAgent,534,16,23.196697235107422
BreadthSearchAgent,529,21,25.796175003051758
BreadthSearchAgent,531,19,24.475812911987305
BreadthSearchAgent,534,16,24.163007736206055
BreadthSearchAgent,527,23,26.131391525268555
BreadthSearchAgent,528,22,25.7108211517334
BreadthSearchAgent,523,27,29.236555099487305
BreadthSearchAgent,525,25,27.627944946289062
BreadthSearchAgent,519,31,29.01434898376465
BreadthSearchAgent,530,20,26.34906768798828
BreadthSearchAgent,532,18,21.82173728942871
BreadthSearchAgent,530,20,24.496078491210938
BreadthSearchAgent,527,23,31.81934356689453
BreadthSearchAgent,525,25,26.75461769104004
BreadthSearchAgent,527,23,25.99024772644043
BreadthSearchAgent,526,24,26.301860809326172
BreadthSearchAgent,527,23,27.501344680786133
BreadthSearchAgent,530,20,25.16484260559082
BreadthSearchAgent,531,19,32.47380256652832
BreadthSearchAgent,532,18,32.011985778808594
BreadthSearchAgent,532,18,20.381450653076172
BreadthSearchAgent,531,19,22.36318588256836
BreadthSearchAgent,531,19,25.10237693786621
BreadthSearchAgent,529,21,26.777029037475586
BreadthSearchAgent,525,25,28.373241424560547
BreadthSearchAgent,526,24,26.285886764526367
BreadthSearchAgent,533,17,30.060768127441406
BreadthSearchAgent,528,22,32.13095664978027
BreadthSearchAgent,528,22,35.05849838256836
BreadthSearchAgent,534,16,25.11119842529297
BreadthSearchAgent,526,24,31.15987777709961
BreadthSearchAgent,526,24,25.536060333251953
BreadthSearchAgent,523,27,35.03274917602539
BreadthSearchAgent,523,27,67.48676300048828
BreadthSearchAgent,527,23,48.68817329406738
BreadthSearchAgent,528,22,36.186933517456055
BreadthSearchAgent,525,25,27.912616729736328
BreadthSearchAgent,524,26,26.02982521057129
BreadthSearchAgent,526,24,23.795366287231445
BreadthSearchAgent,530,20,21.10743522644043
BreadthSearchAgent,533,17,22.39394187927246
BreadthSearchAgent,526,24,28.56302261352539
BreadthSearchAgent,527,23,26.93486213684082
BreadthSearchAgent,529,21,24.692058563232422
BreadthSearchAgent,535,15,21.983861923217773
BreadthSearchAgent,530,20,26.563405990600586
BreadthSearchAgent,529,21,22.234201431274414
BreadthSearchAgent,527,23,23.171663284301758
BreadthSearchAgent,528,22,23.38862419128418
BreadthSearchAgent,524,26,24.80912208557129
BreadthSearchAgent,527,23,31.134843826293945
BreadthSearchAgent,528,22,24.065256118774414
BreadthSearchAgent,532,18,22.170305252075195
BreadthSearchAgent,530,20,23.373842239379883
BreadthSearchAgent,530,20,24.600744247436523
BreadthSearchAgent,522,28,25.842905044555664
BreadthSearchAgent,523,27,27.038097381591797
BreadthSearchAgent,531,19,23.433446884155273
BreadthSearchAgent,533,17,21.956920623779297
BreadthSearchAgent,519,31,29.217958450317383
BreadthSearchAgent,526,24,24.892330169677734
BreadthSearchAgent,533,17,21.574020385742188
BreadthSearchAgent,529,21,24.318695068359375
BreadthSearchAgent,517,33,33.509016036987305
BreadthSearchAgent,528,22,23.95796775817871
BreadthSearchAgent,523,27,38.27333450317383
BreadthSearchAgent,520,30,31.760454177856445
BreadthSearchAgent,525,25,24.55592155456543
BreadthSearchAgent,527,23,23.943185806274414
BreadthSearchAgent,526,24,24.261951446533203
BreadthSearchAgent,530,20,25.96902847290039
BreadthSearchAgent,508,42,40.41099548339844
BreadthSearchAgent,524,26,31.077861785888672
BreadthSearchAgent,527,23,24.457216262817383
BreadthSearchAgent,534,16,24.448156356811523
BreadthSearchAgent,526,24,30.785322189331055
BreadthSearchAgent,526,24,35.88581085205078
BreadthSearchAgent,525,25,33.46419334411621
BreadthSearchAgent,520,30,27.202606201171875
BreadthSearchAgent,527,23,27.547836303710938
BreadthSearchAgent,529,21,22.21083641052246
BreadthSearchAgent,532,18,20.66183090209961
BreadthSearchAgent,528,22,22.71580696105957
BreadthSearchAgent,529,21,22.516965866088867
BreadthSearchAgent,529,21,22.4759578704834
