Agent,Scores,Cost,Milis
BreadthSearchAgent,1909,191,144.9425220489502
BreadthSearchAgent,1817,203,134.4590187072754
BreadthSearchAgent,1921,209,145.2791690826416
BreadthSearchAgent,1916,214,135.12873649597168
BreadthSearchAgent,1856,204,127.60066986083984
BreadthSearchAgent,1895,215,144.972562789917
BreadthSearchAgent,1903,197,154.95800971984863
BreadthSearchAgent,1952,198,164.55912590026855
BreadthSearchAgent,1876,214,137.59398460388184
BreadthSearchAgent,2032,198,125.18525123596191
BreadthSearchAgent,1940,200,127.69770622253418
BreadthSearchAgent,1953,207,122.57194519042969
BreadthSearchAgent,1918,192,121.19722366333008
BreadthSearchAgent,1926,194,116.25051498413086
BreadthSearchAgent,1959,211,129.61554527282715
BreadthSearchAgent,1974,206,150.45857429504395
BreadthSearchAgent,1933,217,144.03390884399414
BreadthSearchAgent,1919,201,151.48234367370605
BreadthSearchAgent,1874,186,117.15054512023926
BreadthSearchAgent,1863,187,119.46630477905273
BreadthSearchAgent,1871,209,146.4064121246338
BreadthSearchAgent,1910,180,122.09296226501465
BreadthSearchAgent,1912,198,129.14252281188965
BreadthSearchAgent,1881,209,139.3740177154541
BreadthSearchAgent,1897,203,193.7093734741211
BreadthSearchAgent,1904,206,129.55951690673828
BreadthSearchAgent,1888,192,116.49799346923828
BreadthSearchAgent,1846,214,125.54264068603516
BreadthSearchAgent,1963,197,131.48212432861328
BreadthSearchAgent,1892,218,140.46216011047363
BreadthSearchAgent,1894,206,122.18785285949707
BreadthSearchAgent,1815,215,135.59222221374512
BreadthSearchAgent,1917,203,148.01359176635742
BreadthSearchAgent,1913,207,135.92267036437988
BreadthSearchAgent,1849,211,140.06423950195312
BreadthSearchAgent,1947,203,127.90727615356445
BreadthSearchAgent,1899,201,143.1713104248047
BreadthSearchAgent,1856,204,167.27924346923828
BreadthSearchAgent,1873,207,149.17373657226562
BreadthSearchAgent,1884,186,122.83873558044434
BreadthSearchAgent,1892,218,149.9028205871582
BreadthSearchAgent,1907,223,149.36375617980957
BreadthSearchAgent,1927,183,106.98294639587402
BreadthSearchAgent,1865,195,179.7778606414795
BreadthSearchAgent,1954,196,152.49919891357422
BreadthSearchAgent,1877,213,145.98679542541504
BreadthSearchAgent,1910,210,132.37810134887695
BreadthSearchAgent,1912,198,123.83341789245605
BreadthSearchAgent,1897,203,127.47526168823242
BreadthSearchAgent,1934,206,123.39615821838379
BreadthSearchAgent,1940,200,114.62187767028809
BreadthSearchAgent,1874,216,137.93230056762695
BreadthSearchAgent,1891,199,138.11326026916504
BreadthSearchAgent,1916,204,117.2494888305664
BreadthSearchAgent,1927,203,118.48092079162598
BreadthSearchAgent,1888,212,130.8920383453369
BreadthSearchAgent,1867,203,125.81753730773926
BreadthSearchAgent,1895,205,120.75042724609375
BreadthSearchAgent,1891,219,141.50595664978027
BreadthSearchAgent,1871,199,133.91494750976562
BreadthSearchAgent,1839,211,126.51324272155762
BreadthSearchAgent,1864,206,121.26350402832031
BreadthSearchAgent,1912,208,143.78070831298828
BreadthSearchAgent,1881,199,122.91646003723145
BreadthSearchAgent,1871,209,156.6770076751709
BreadthSearchAgent,1877,203,147.48239517211914
BreadthSearchAgent,1892,198,143.18609237670898
BreadthSearchAgent,1967,193,145.4460620880127
BreadthSearchAgent,1866,194,221.85635566711426
BreadthSearchAgent,1906,184,134.5221996307373
BreadthSearchAgent,1820,200,115.87333679199219
BreadthSearchAgent,1918,212,152.24862098693848
BreadthSearchAgent,1915,195,134.87863540649414
BreadthSearchAgent,1866,194,116.50323867797852
BreadthSearchAgent,1870,210,139.18161392211914
BreadthSearchAgent,1953,207,144.79827880859375
BreadthSearchAgent,1884,196,117.61236190795898
BreadthSearchAgent,1867,203,137.07232475280762
BreadthSearchAgent,1947,203,129.8384666442871
BreadthSearchAgent,1896,204,119.75789070129395
BreadthSearchAgent,1886,194,121.69194221496582
BreadthSearchAgent,2010,200,138.72885704040527
BreadthSearchAgent,1860,220,156.27431869506836
BreadthSearchAgent,1890,210,133.87131690979004
BreadthSearchAgent,1871,189,156.8918228149414
BreadthSearchAgent,1921,189,141.8170928955078
BreadthSearchAgent,1856,204,248.89898300170898
BreadthSearchAgent,1830,200,170.46785354614258
BreadthSearchAgent,1894,206,136.41357421875
BreadthSearchAgent,1938,202,150.07948875427246
BreadthSearchAgent,1935,205,157.15646743774414
BreadthSearchAgent,1898,202,176.45597457885742
BreadthSearchAgent,1851,199,141.89815521240234
BreadthSearchAgent,1853,197,136.49368286132812
BreadthSearchAgent,1901,199,118.49355697631836
BreadthSearchAgent,1960,200,120.83196640014648
BreadthSearchAgent,1913,197,123.93689155578613
BreadthSearchAgent,1922,198,128.46875190734863
BreadthSearchAgent,1841,199,123.77738952636719
BreadthSearchAgent,1854,186,114.00842666625977
