Agent,Scores,Cost,Milis
DepthSearchAgent,364,186,44.78025436401367
DepthSearchAgent,405,145,41.20612144470215
DepthSearchAgent,398,152,40.935516357421875
DepthSearchAgent,381,169,47.47772216796875
DepthSearchAgent,431,119,34.91711616516113
DepthSearchAgent,382,168,38.61117362976074
DepthSearchAgent,424,126,38.78450393676758
DepthSearchAgent,441,109,53.78127098083496
DepthSearchAgent,267,283,49.803972244262695
DepthSearchAgent,355,195,57.01160430908203
DepthSearchAgent,358,192,46.56720161437988
DepthSearchAgent,402,148,43.08795928955078
DepthSearchAgent,381,169,78.55486869812012
DepthSearchAgent,416,134,50.54974555969238
DepthSearchAgent,395,155,58.336496353149414
DepthSearchAgent,400,150,51.903486251831055
DepthSearchAgent,420,130,44.40736770629883
DepthSearchAgent,433,117,45.639991760253906
DepthSearchAgent,382,168,34.64627265930176
DepthSearchAgent,408,142,44.62289810180664
DepthSearchAgent,426,124,36.144256591796875
DepthSearchAgent,410,140,53.72929573059082
DepthSearchAgent,373,177,42.23966598510742
DepthSearchAgent,364,186,66.51759147644043
DepthSearchAgent,233,317,49.854278564453125
DepthSearchAgent,395,155,45.172929763793945
DepthSearchAgent,428,122,50.428152084350586
DepthSearchAgent,350,200,59.63706970214844
DepthSearchAgent,385,165,62.99304962158203
DepthSearchAgent,447,103,39.946556091308594
DepthSearchAgent,380,170,58.09378623962402
DepthSearchAgent,391,159,66.55001640319824
DepthSearchAgent,448,102,40.474891662597656
DepthSearchAgent,407,143,40.80796241760254
DepthSearchAgent,354,196,49.17001724243164
DepthSearchAgent,308,242,59.0052604675293
DepthSearchAgent,405,145,33.39886665344238
DepthSearchAgent,385,165,56.67710304260254
DepthSearchAgent,387,163,35.98904609680176
DepthSearchAgent,438,112,40.97557067871094
DepthSearchAgent,363,187,42.882680892944336
DepthSearchAgent,411,139,45.55034637451172
DepthSearchAgent,433,117,35.45212745666504
DepthSearchAgent,306,244,65.63901901245117
DepthSearchAgent,440,110,39.85190391540527
DepthSearchAgent,249,301,63.436269760131836
DepthSearchAgent,384,166,37.66489028930664
DepthSearchAgent,373,177,32.69362449645996
DepthSearchAgent,407,143,44.344186782836914
DepthSearchAgent,383,167,71.11740112304688
DepthSearchAgent,449,101,45.0444221496582
DepthSearchAgent,355,195,42.47856140136719
DepthSearchAgent,374,176,38.01774978637695
DepthSearchAgent,368,182,54.90684509277344
DepthSearchAgent,357,193,44.20208930969238
DepthSearchAgent,381,169,26.45277976989746
DepthSearchAgent,392,158,40.39645195007324
DepthSearchAgent,413,137,46.29969596862793
DepthSearchAgent,377,173,55.475711822509766
DepthSearchAgent,447,103,48.960208892822266
DepthSearchAgent,388,162,35.13193130493164
DepthSearchAgent,448,102,37.822723388671875
DepthSearchAgent,425,125,50.575971603393555
DepthSearchAgent,432,118,44.739723205566406
DepthSearchAgent,382,168,50.68540573120117
DepthSearchAgent,390,160,36.34166717529297
DepthSearchAgent,347,203,50.33516883850098
DepthSearchAgent,423,127,44.73614692687988
DepthSearchAgent,358,192,54.3360710144043
DepthSearchAgent,406,144,46.48423194885254
DepthSearchAgent,371,179,59.00931358337402
DepthSearchAgent,372,178,48.723697662353516
DepthSearchAgent,445,105,34.98482704162598
DepthSearchAgent,395,155,50.583600997924805
DepthSearchAgent,384,166,52.716732025146484
DepthSearchAgent,370,180,60.55307388305664
DepthSearchAgent,376,174,56.36239051818848
DepthSearchAgent,416,134,51.67889595031738
DepthSearchAgent,383,167,50.162315368652344
DepthSearchAgent,415,135,61.15007400512695
DepthSearchAgent,439,111,63.71021270751953
DepthSearchAgent,388,162,44.35300827026367
DepthSearchAgent,409,141,47.29199409484863
DepthSearchAgent,305,245,57.25884437561035
DepthSearchAgent,422,128,36.98539733886719
DepthSearchAgent,390,160,38.64169120788574
DepthSearchAgent,363,187,49.915313720703125
DepthSearchAgent,435,115,47.92666435241699
DepthSearchAgent,410,140,51.3300895690918
DepthSearchAgent,424,126,33.97250175476074
DepthSearchAgent,314,236,39.49093818664551
DepthSearchAgent,418,132,43.36404800415039
DepthSearchAgent,409,141,49.40152168273926
DepthSearchAgent,393,157,41.75162315368652
DepthSearchAgent,375,175,60.420989990234375
DepthSearchAgent,375,175,61.658620834350586
DepthSearchAgent,454,96,42.376041412353516
DepthSearchAgent,341,209,48.985958099365234
DepthSearchAgent,365,185,64.48626518249512
DepthSearchAgent,455,95,33.29586982727051
