Agent,Scores,Cost,Milis
DepthSearchAgent,429,1671,613.7433052062988
DepthSearchAgent,141,1879,641.0229206085205
DepthSearchAgent,621,1509,552.6440143585205
DepthSearchAgent,483,1647,628.6337375640869
DepthSearchAgent,293,1767,640.190601348877
DepthSearchAgent,823,1287,462.55016326904297
DepthSearchAgent,376,1724,620.0628280639648
DepthSearchAgent,888,1262,553.0056953430176
DepthSearchAgent,428,1662,479.87866401672363
DepthSearchAgent,1216,1014,486.73510551452637
DepthSearchAgent,673,1467,571.6156959533691
DepthSearchAgent,683,1477,535.4342460632324
DepthSearchAgent,173,1937,631.7620277404785
DepthSearchAgent,748,1372,513.2637023925781
DepthSearchAgent,857,1313,548.5312938690186
DepthSearchAgent,678,1502,542.273759841919
DepthSearchAgent,272,1878,581.5260410308838
DepthSearchAgent,188,1932,578.0701637268066
DepthSearchAgent,61,1999,630.526065826416
DepthSearchAgent,515,1535,583.5368633270264
DepthSearchAgent,-123,2203,789.130449295044
DepthSearchAgent,374,1716,613.0402088165283
DepthSearchAgent,193,1917,594.8810577392578
DepthSearchAgent,431,1659,514.3859386444092
DepthSearchAgent,597,1503,557.7809810638428
DepthSearchAgent,434,1676,609.3027591705322
DepthSearchAgent,591,1489,561.7990493774414
DepthSearchAgent,494,1566,537.8334522247314
DepthSearchAgent,729,1431,679.912805557251
DepthSearchAgent,492,1618,590.4891490936279
DepthSearchAgent,590,1510,541.3763523101807
DepthSearchAgent,610,1420,546.2021827697754
DepthSearchAgent,760,1360,538.4767055511475
DepthSearchAgent,37,2083,754.6236515045166
DepthSearchAgent,981,1079,449.6769905090332
DepthSearchAgent,1012,1138,431.12683296203613
DepthSearchAgent,631,1469,560.8859062194824
DepthSearchAgent,433,1627,571.5897083282471
DepthSearchAgent,373,1707,632.2667598724365
DepthSearchAgent,123,1947,670.0742244720459
DepthSearchAgent,504,1606,493.976354598999
DepthSearchAgent,701,1429,645.0469493865967
DepthSearchAgent,91,2019,831.7775726318359
DepthSearchAgent,688,1372,497.774600982666
DepthSearchAgent,734,1416,617.0868873596191
DepthSearchAgent,-364,2454,769.7110176086426
DepthSearchAgent,710,1410,514.2626762390137
DepthSearchAgent,558,1552,633.0091953277588
DepthSearchAgent,483,1617,525.2313613891602
DepthSearchAgent,579,1561,494.7831630706787
DepthSearchAgent,860,1280,575.4778385162354
DepthSearchAgent,255,1835,582.3509693145752
DepthSearchAgent,534,1556,586.2479209899902
DepthSearchAgent,744,1376,489.43209648132324
DepthSearchAgent,251,1879,619.7624206542969
DepthSearchAgent,351,1749,653.9382934570312
DepthSearchAgent,-397,2467,665.0779247283936
DepthSearchAgent,647,1453,569.2942142486572
DepthSearchAgent,677,1433,587.2249603271484
DepthSearchAgent,568,1502,635.3120803833008
DepthSearchAgent,403,1647,616.6055202484131
DepthSearchAgent,748,1322,519.0343856811523
DepthSearchAgent,573,1547,633.1400871276855
DepthSearchAgent,509,1571,574.993371963501
DepthSearchAgent,-32,2112,762.5617980957031
DepthSearchAgent,150,1930,657.9804420471191
DepthSearchAgent,571,1519,690.2632713317871
DepthSearchAgent,686,1474,540.5960083007812
DepthSearchAgent,547,1513,490.83590507507324
DepthSearchAgent,460,1630,616.4429187774658
DepthSearchAgent,561,1459,575.5383968353271
DepthSearchAgent,231,1899,644.1149711608887
DepthSearchAgent,305,1805,559.746503829956
DepthSearchAgent,-189,2249,643.0273056030273
DepthSearchAgent,693,1387,462.80980110168457
DepthSearchAgent,629,1531,589.841365814209
DepthSearchAgent,363,1717,728.8272380828857
DepthSearchAgent,-645,2715,757.2915554046631
DepthSearchAgent,584,1566,682.971715927124
DepthSearchAgent,741,1359,565.3514862060547
DepthSearchAgent,-167,2247,805.3085803985596
DepthSearchAgent,805,1405,776.7589092254639
DepthSearchAgent,465,1615,561.403751373291
DepthSearchAgent,723,1377,494.8732852935791
DepthSearchAgent,746,1314,538.6557579040527
DepthSearchAgent,431,1679,575.385332107544
DepthSearchAgent,161,1899,587.8887176513672
DepthSearchAgent,-336,2366,553.5895824432373
DepthSearchAgent,589,1511,691.2541389465332
DepthSearchAgent,563,1577,678.8914203643799
DepthSearchAgent,549,1591,600.9018421173096
DepthSearchAgent,-117,2217,777.9450416564941
DepthSearchAgent,117,1933,655.0590991973877
DepthSearchAgent,200,1850,620.7253932952881
DepthSearchAgent,337,1763,585.3579044342041
DepthSearchAgent,547,1613,752.5753974914551
DepthSearchAgent,917,1193,526.6759395599365
DepthSearchAgent,521,1599,560.8758926391602
DepthSearchAgent,506,1534,480.21888732910156
DepthSearchAgent,108,1932,587.8896713256836
