Agent,Scores,Cost,Milis
GreedyAgent,-918,1468,149.7509479522705
GreedyAgent,-237,787,82.4117660522461
GreedyAgent,337,213,34.653663635253906
GreedyAgent,191,359,42.38247871398926
GreedyAgent,328,222,32.88388252258301
GreedyAgent,-388,938,89.77031707763672
GreedyAgent,442,108,22.689104080200195
GreedyAgent,-3211,3761,330.9962749481201
GreedyAgent,-81,631,69.3819522857666
GreedyAgent,97,453,57.04545974731445
GreedyAgent,444,106,26.05915069580078
GreedyAgent,-971,1521,135.8623504638672
GreedyAgent,-101,651,70.68872451782227
GreedyAgent,-462,1012,99.00617599487305
GreedyAgent,-90,640,67.42691993713379
GreedyAgent,-47,597,64.61644172668457
GreedyAgent,-103,653,71.12503051757812
GreedyAgent,429,121,25.762319564819336
GreedyAgent,-214,764,80.97267150878906
GreedyAgent,416,134,27.07958221435547
GreedyAgent,98,452,52.433013916015625
GreedyAgent,31,519,68.8638687133789
GreedyAgent,-64,614,67.65389442443848
GreedyAgent,367,183,36.39078140258789
GreedyAgent,326,224,37.32728958129883
GreedyAgent,261,289,43.21026802062988
GreedyAgent,67,483,58.03084373474121
GreedyAgent,445,105,23.61917495727539
GreedyAgent,227,323,40.258169174194336
GreedyAgent,-65,615,63.48705291748047
GreedyAgent,-391,941,98.77920150756836
GreedyAgent,-465,1015,95.50809860229492
GreedyAgent,194,356,46.61726951599121
GreedyAgent,372,178,31.289339065551758
GreedyAgent,446,104,31.552791595458984
GreedyAgent,-884,1434,136.10243797302246
GreedyAgent,204,346,40.19904136657715
GreedyAgent,-265,815,87.066650390625
GreedyAgent,308,242,32.883405685424805
GreedyAgent,339,211,39.240121841430664
GreedyAgent,292,258,34.64102745056152
GreedyAgent,-837,1387,165.77410697937012
GreedyAgent,324,226,53.43294143676758
GreedyAgent,-1156,1706,175.201416015625
GreedyAgent,426,124,28.96595001220703
GreedyAgent,-934,1484,138.5347843170166
GreedyAgent,-168,718,75.93631744384766
GreedyAgent,227,323,41.96572303771973
GreedyAgent,2,548,68.4051513671875
GreedyAgent,-101,651,66.94650650024414
GreedyAgent,404,146,26.696205139160156
GreedyAgent,361,189,29.452800750732422
GreedyAgent,-905,1455,147.89271354675293
GreedyAgent,351,199,29.747486114501953
GreedyAgent,-486,1036,96.55141830444336
GreedyAgent,-2375,2925,249.75991249084473
GreedyAgent,-1094,1644,151.9162654876709
GreedyAgent,209,341,42.517900466918945
GreedyAgent,365,185,30.81989288330078
GreedyAgent,159,391,47.54805564880371
GreedyAgent,132,418,51.87344551086426
GreedyAgent,333,217,35.33506393432617
GreedyAgent,-225,775,86.64059638977051
GreedyAgent,-36,586,67.09098815917969
GreedyAgent,450,100,29.855966567993164
GreedyAgent,366,184,46.04339599609375
GreedyAgent,-247,797,91.00198745727539
GreedyAgent,-625,1175,123.48556518554688
GreedyAgent,98,452,62.93439865112305
GreedyAgent,356,194,29.981136322021484
GreedyAgent,161,389,50.244808197021484
GreedyAgent,-134,684,78.54771614074707
GreedyAgent,-427,977,90.60883522033691
GreedyAgent,355,195,33.55288505554199
GreedyAgent,55,495,59.70311164855957
GreedyAgent,-51,601,63.698768615722656
GreedyAgent,237,313,39.25967216491699
GreedyAgent,42,508,64.3160343170166
GreedyAgent,-381,931,95.28827667236328
GreedyAgent,-20,570,62.317609786987305
GreedyAgent,6,544,69.46802139282227
GreedyAgent,-690,1240,116.61505699157715
GreedyAgent,174,376,44.68584060668945
GreedyAgent,68,482,57.75642395019531
GreedyAgent,-116,666,78.80496978759766
GreedyAgent,364,186,31.775474548339844
GreedyAgent,196,354,44.13628578186035
GreedyAgent,-78,628,69.2739486694336
GreedyAgent,-395,945,87.66818046569824
GreedyAgent,-448,998,91.61520004272461
GreedyAgent,340,210,29.90889549255371
GreedyAgent,48,502,60.05239486694336
GreedyAgent,268,282,40.96269607543945
GreedyAgent,490,60,18.921375274658203
GreedyAgent,427,123,25.57849884033203
GreedyAgent,-1102,1652,152.41670608520508
GreedyAgent,368,182,44.8613166809082
GreedyAgent,-125,675,111.43612861633301
GreedyAgent,274,276,52.2308349609375
GreedyAgent,383,167,33.05935859680176
